chave,valor
bnc_s1_jb_p,2.26534845604e-06
bnc_s1_b_educ,0.0796547270923
bnc_s1_se_educ,0.00685558885564
bnc_s1_ic_educ_inf,0.0662177729352
bnc_s1_ic_educ_sup,0.0930916812493
bnc_s1_b_tenure,0.0160849287641
bnc_s1_t_tenure,5.57956015385
bnc_s1_t_married,1.35099131622
bnc_s1_t_nonwhite,-0.320327311747
bnc_s1_b_married,0.0554870779304
bnc_s1_b_nonwhite,-0.018619193598
bnc_s1_b_exper,0.0301800114949
bnc_s1_b_expersq,-0.000602935903597
bnc_s1_expstar,25.0275454777
bnc_s1_expstar_ep,1.43931074118
bnc_s1_frac_acima,0.268060836502
bnc_s1_b_female,-0.291432214451
bnc_s1_female_aprox,-29.1432214451
bnc_s1_female_exato,-25.2807339249
bnc_s1_efmarg_exper_10,0.0181212934229
bnc_s2k_n,          204
bnc_s2k_mqo_b,0.690263492663
bnc_s2k_mqo_se,0.00129129384722
bnc_s2k_dw,0.323726836713
bnc_s2k_rho_dw,0.838136581644
bnc_s2k_bg,139.000818061
bnc_s2k_bg_p,4.61899513337e-29
bnc_s2k_bg_crit,9.48772903678
bnc_s2k_iv_b,0.689492071813
bnc_s2k_iv_se,0.0012978384306
bnc_s2k_iv_t,531.261870165
bnc_s2k_weak, 11992.010443
bnc_s2k_weak_p,8.40976498823e-210
bnc_s2k_wh,53.6940164215
bnc_s2k_wh_p,5.57822249311e-12
bnc_s2k_sargan,0.546353139037
bnc_s2k_sargan_p,0.459811640093
bnc_s2k_r2,0.999292328928
bnc_s2k_mult_mqo,3.22855064325
bnc_s2k_mult_iv, 3.2205296845
bnc_s2k_t_mpc1,-239.250064466
bnc_s3k_n,          321
bnc_s3k_b_did,-0.131513244953
bnc_s3k_se_did,0.0519711954868
bnc_s3k_t_did,-2.53050259323
bnc_s3k_p_did,0.0113899242964
bnc_s3k_did_exato,-12.3232337685
bnc_s3k_b_nearinc,0.0322320249779
bnc_s3k_t_nearinc,0.678746595412
bnc_s3k_b_y81,0.162072470805
bnc_s3k_r2adj,0.723936047921
bnc_s3k_r2aux,0.938534689957
bnc_s3k_vif_age,16.2693395558
bnc_s3k_b_did_sem,-0.0626489272655
bnc_s3k_se_did_sem,0.0834407819119
bnc_s3k_t_did_sem,-0.750819033931
bnc_s3k_agestar,111.056135999
bnc_s3c_n,         3010
bnc_s3c_iv_b_educ,   0.13228884
bnc_s3c_iv_se_educ,0.0492332361185
bnc_s3c_iv_z_educ,2.68698242143
bnc_s3c_mqo_b_educ,0.0740089942006
bnc_s3c_mqo_se_educ,0.00350543495692
bnc_s3c_weak,16.7175914365
bnc_s3c_weak_p,4.45150794408e-05
bnc_s3c_wh, 1.5390377958
bnc_s3c_wh_p,0.21485802942
bnc_s3c_razao_se,14.0448294501
bnc_s3c_ic_educ_inf,0.0357916972082
bnc_s3c_ic_educ_sup,0.228785982793
bnc_s3c_fs_b_nearc4,0.337320780089
bnc_s3c_fs_t_nearc4,4.08871513271
bnc_chi2_2gl_5,5.99146454711
bnc_chi2_5gl_5,11.0704976935
bnc_chi2_2gl_10,4.60517018599
bnc_z_5,1.95996398454
bnc_z_10,1.64485362695
